PROVINCIA,VOTOS VÁLIDOS,BLANCOS,NULOS,ELECTORES,SUFRAGANTES,AUSENTISMO
AZUAY,448612,11674,31541,646510,492127,154383
BOLÍVAR,118088,6087,14701,165366,138924,26442
CAÑAR,133064,5008,11833,225783,149973,7581
CARCHI,112861,2662,6779,143914,122354,2156
CHIMBORAZO,287939,12415,29821,409665,330314,79351
COTOPAXI,268816,11065,27948,353357,308105,45252
EL ORO,403907,8459,26446,521364,438986,82378
ESMERALDAS,264879,13394,34093,390892,31245,78442
GALÁPAGOS,14816,148,678,20196,15649,4547
GUAYAS,2314794,63633,170659,3074254,2549956,524298
IMBABURA,271249,8393,22779,360023,302572,57451
LOJA,285966,8287,16322,392488,310765,81723
LOS RÍOS,480543,26446,5275,636484,559979,76505
MANABÍ,887053,49453,92053,1192577,1028883,163694
MORONA SANTIAGO,8381,3061,7185,123428,94142,29286
NAPO,65971,1028,4877,82095,71896,10199
ORELLANA,82724,282,8398,108896,93979,14917
PASTAZA,52246,108,3773,69656,57143,12513
PICHINCHA,1768732,19732,89092,2254313,1878742,375571
SANTA ELENA,199789,6661,14237,239197,220785,18412
STO DGO TSÁCHILAS,27389,7925,22931,361662,304902,5676
SUCUMBÍOS,101449,35,9779,137425,114779,22646
TUNGURAHUA,343955,7323,24105,449475,375537,73938
ZAMORA CHINCHIPE,59908,1401,2861,79427,64206,15221